	coliflower_reoriented_genome	ewik_reoriented_genome	gadget_reoriented_genome	infector_reoriented_genome	kuwaak_reoriented_genome	kwarr_reoriented_genome	maay_reoriented_genome	nyashin_reoriented_genome	patchman_reoriented_genome	rage_reoriented_genome	saurus_reoriented_genome	turner_reoriented_genome	tuull_reoriented_genome	viralious_reoriented_genome	yaccob_reoriented_genome
coliflower_reoriented_genome	1.0	0.6143569724571677	0.8818694426371719	0.8544133593580568	0.8504662762958144	0.0	0.9222511385816525	0.0	0.9773151160268922	0.9769898069833008	0.704077206679679	0.7053133810453264	0.0	0.995640858815875	0.9772717414877466
ewik_reoriented_genome	0.5399007179162629	1.0	0.5625852896386686	0.6754543836402113	0.5746692245317723	0.0	0.5807606352471174	0.0	0.5579178450645729	0.5577794039119515	0.5014536321025256	0.4831398453414552	0.0	0.5599351304313431	0.5578980677570555
gadget_reoriented_genome	0.8613053863866234	0.6950870472788311	1.0	0.8965331726527362	0.8976952376853387	0.0	0.8812972088919495	0.0	0.8834276614517205	0.8831479050549829	0.7029417461103101	0.7024898319309647	0.0	0.881620004734339	0.8834707008973725
infector_reoriented_genome	0.8363923346216889	0.7325819050124451	0.8629216666329401	1.0	0.8628811947305584	0.0	0.8258696400024284	0.0	0.8179978549891738	0.8177145516725014	0.7200760871764778	0.7381467915899387	0.0	0.8387801768622134	0.8181192706963191
kuwaak_reoriented_genome	0.8751491580854731	0.6172051089406462	0.8928934458832368	0.8998762540327927	1.0	0.0	0.9711185751535776	0.0	0.8677023025588898	0.8674813276174482	0.6666151058469969	0.6886463075087285	0.0	0.857758430194016	0.8677685950413223
kwarr_reoriented_genome	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.9703758109927776	0.0	0.0	0.0	0.0	0.8511445709389154	0.0	0.0
maay_reoriented_genome	0.8841280860849569	0.5494207489044127	0.8764915173341433	0.861131600642166	0.9493860372282726	0.0	1.0	0.0	0.905931357660433	0.905649325291795	0.6129431162407255	0.612162103527574	0.0	0.8857768907016098	0.905931357660433
nyashin_reoriented_genome	0.0	0.0	0.0	0.0	0.0	0.8808994155107738	0.0	1.0	0.0	0.0	0.0	0.0	0.8638881619122394	0.0	0.0
patchman_reoriented_genome	0.977081526452732	0.6133781439722463	0.9026669557675628	0.8663486556808326	0.8922810060711188	0.0	0.9147441457068517	0.0	1.0	0.9992411101474414	0.6995880312228968	0.6991326973113616	0.0	0.9940372940156115	0.9994579358196011
rage_reoriented_genome	0.9771169529758806	0.6119642547284401	0.9006159986118342	0.8654780496269304	0.8914627798021864	0.0	0.9144108971022037	0.0	0.9995445080687142	1.0	0.6981173000173521	0.6976184279021344	0.0	0.993688183237897	0.9995445080687142
saurus_reoriented_genome	0.6459390862944162	0.5395589007526693	0.6693724838088569	0.7035926833537546	0.5990941711885174	0.0	0.6177139856467705	0.0	0.664712060213548	0.6448232102223	1.0	0.9950332574829337	0.0	0.6337957290390338	0.6659154559775949
turner_reoriented_genome	0.6708974330918879	0.5393133028426373	0.6569796704378843	0.6993675733636782	0.5990765258113224	0.0	0.6221196139790358	0.0	0.6522747663960435	0.651815217629166	0.9994748014092829	1.0	0.0	0.654375560758912	0.6534783464997702
tuull_reoriented_genome	0.0	0.0	0.0	0.0	0.0	0.7867955985328443	0.0	0.8811826164276981	0.0	0.0	0.0	0.0	1.0	0.0	0.0
viralious_reoriented_genome	0.9987209781265581	0.6163151163042772	0.883045372759002	0.8539964013960849	0.8344208632313729	0.0	0.9057209130915476	0.0	0.9773678163411303	0.9770426412885603	0.6817836935550304	0.6838864922283162	0.0	1.0	0.9773244596674543
yaccob_reoriented_genome	0.9770381613183001	0.6133998265394622	0.9026452732003469	0.8662185602775369	0.892215958369471	0.0	0.9146574154379878	0.0	0.9994145706851691	0.9991543798785776	0.6992627927146574	0.6989809193408499	0.0	0.9939288811795317	1.0
