	coliflower_reoriented_genome	ewik_reoriented_genome	gadget_reoriented_genome	infector_reoriented_genome	kuwaak_reoriented_genome	bane_reoriented_genome	maay_reoriented_genome	nyashin_reoriented_genome	patchman_reoriented_genome	rage_reoriented_genome	saurus_reoriented_genome	turner_reoriented_genome	shaaii_reoriented_genome	viralious_reoriented_genome	yaccob_reoriented_genome
coliflower_reoriented_genome	1.0	0.9631700000000002	0.9593739024390244	0.9612	0.9664894871794872	0.0	0.9664946511627907	0.0	0.9980011111111111	0.9978924444444445	0.7857364705882354	0.7857688235294118	0.0	0.9983069565217391	0.9981282222222223
ewik_reoriented_genome	0.962724827586207	1.0	0.9617083333333333	0.9971760000000001	0.9848866666666668	0.0	0.9839596774193551	0.0	0.9632033333333333	0.9629666666666665	0.7792428571428571	0.7757011111111112	0.0	0.9634230000000001	0.9631113333333333
gadget_reoriented_genome	0.9593389999999999	0.9600494117647062	1.0	0.962037380952381	0.9641292857142857	0.0	0.9657534146341462	0.0	0.9603229268292683	0.9599100000000002	0.7802935294117647	0.777469705882353	0.0	0.9601641463414633	0.9601356097560977
infector_reoriented_genome	0.9568640476190475	0.9964535135135135	0.9587923255813955	1.0	0.9777145238095238	0.0	0.9748458536585366	0.0	0.956290731707317	0.9560046341463414	0.782345263157895	0.7828735897435898	0.0	0.9570009523809523	0.9563639024390246
kuwaak_reoriented_genome	0.95993525	0.9819489655172414	0.9620412500000001	0.9777668292682927	1.0	0.0	0.9895831818181817	0.0	0.9598646153846155	0.9595876923076925	0.7852534375000001	0.7855115151515152	0.0	0.9657261538461539	0.9598928205128207
bane_reoriented_genome	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.999755	0.0	0.0	0.0	0.0	0.8661308571428571	0.0	0.0
maay_reoriented_genome	0.9630675609756097	0.9825734615384615	0.9645978048780488	0.9780542499999999	0.9910820454545455	0.0	1.0	0.0	0.9641942857142859	0.9639804761904763	0.7976673333333332	0.7958063333333333	0.0	0.964990487804878	0.9641711904761906
nyashin_reoriented_genome	0.0	0.0	0.0	0.0	0.0	0.9997477499999999	0.0	1.0	0.0	0.0	0.0	0.0	0.86448825	0.0	0.0
patchman_reoriented_genome	0.9978680000000002	0.9564276666666668	0.9572611904761905	0.9556019512195121	0.9576930952380953	0.0	0.9624241860465117	0.0	1.0	0.9985732608695652	0.7855835294117647	0.7827373529411764	0.0	0.998849782608696	0.9984393478260871
rage_reoriented_genome	0.9976497777777781	0.9561716666666665	0.9575861904761905	0.955620243902439	0.957544761904762	0.0	0.9623302325581397	0.0	0.9985308695652175	1.0	0.785660294117647	0.7828605882352941	0.0	0.9985521739130435	0.9982745652173916
saurus_reoriented_genome	0.7919090322580644	0.7841400000000001	0.786014375	0.7855784848484849	0.7911900000000002	0.0	0.7867313793103449	0.0	0.78844375	0.7923709677419354	1.0	0.9984382222222224	0.0	0.7947366666666671	0.7881868750000001
turner_reoriented_genome	0.78867375	0.7853484615384615	0.7831922580645163	0.7859142424242425	0.7914157142857142	0.0	0.7879127586206898	0.0	0.7856774193548386	0.7852374193548387	0.9984437777777778	1.0	0.0	0.7911041935483871	0.7854287096774195
shaaii_reoriented_genome	0.0	0.0	0.0	0.0	0.0	0.8683799999999999	0.0	0.865930731707317	0.0	0.0	0.0	0.0	1.0	0.0	0.0
viralious_reoriented_genome	0.9983797826086958	0.955814	0.95768	0.95693775	0.9665034210526315	0.0	0.9624730952380951	0.0	0.9988022222222224	0.9985191111111112	0.7855834374999999	0.784845	0.0	1.0	0.9985746666666667
yaccob_reoriented_genome	0.9979908888888891	0.9562373333333335	0.9570354761904761	0.955620487804878	0.9575940476190477	0.0	0.9622851162790699	0.0	0.9984615217391306	0.9983334782608698	0.7854264705882352	0.7825082352941176	0.0	0.9984969565217392	1.0
