queryID,query_name,qstart,qend,refID,ref_name,rstart,rend,identity,evalue,qproduct,qgeneID,rproduct,rgeneID,merged_query,merged_query_name,merged_ref,merged_ref_name
ewik,Ewik_contig_1,0,1134,coliflower,Coliflower_contig_1,565,1129,100,1.14E-108,terminase large subunit,AXUUMYTS_CDS_0001,terminase large subunit,JDOEVDKM_CDS_0002,ewik - AXUUMYTS_CDS_0001,ewik - AXUUMYTS_CDS_0001 - terminase large subunit,coliflower - JDOEVDKM_CDS_0002,coliflower - JDOEVDKM_CDS_0002 - terminase large subunit
ewik,Ewik_contig_1,1136,2675,coliflower,Coliflower_contig_1,1483,2524,99.1,1.13E-231,portal protein,AXUUMYTS_CDS_0002,portal protein,JDOEVDKM_CDS_0004,ewik - AXUUMYTS_CDS_0002,ewik - AXUUMYTS_CDS_0002 - portal protein,coliflower - JDOEVDKM_CDS_0004,coliflower - JDOEVDKM_CDS_0004 - portal protein
ewik,Ewik_contig_1,6569,7490,coliflower,Coliflower_contig_1,6915,8250,98.2,8.05E-186,minor tail protein,AXUUMYTS_CDS_0005,minor tail protein,JDOEVDKM_CDS_0016,ewik - AXUUMYTS_CDS_0005,ewik - AXUUMYTS_CDS_0005 - minor tail protein,coliflower - JDOEVDKM_CDS_0016,coliflower - JDOEVDKM_CDS_0016 - minor tail protein
ewik,Ewik_contig_1,8062,8494,coliflower,Coliflower_contig_1,8281,8647,97.1,5.07E-68,Tail assembly chaperone,AXUUMYTS_CDS_0007,Tail assembly chaperone,JDOEVDKM_CDS_0017,ewik - AXUUMYTS_CDS_0007,ewik - AXUUMYTS_CDS_0007 - Tail assembly chaperone,coliflower - JDOEVDKM_CDS_0017,coliflower - JDOEVDKM_CDS_0017 - Tail assembly chaperone
ewik,Ewik_contig_1,9743,9293,coliflower,Coliflower_contig_1,9050,9500,99.3,1.20E-94,tail length tape measure protein,AXUUMYTS_CDS_0008,tail completion or Neck1 protein,JDOEVDKM_CDS_0020,ewik - AXUUMYTS_CDS_0008,ewik - AXUUMYTS_CDS_0008 - tail length tape measure protein,coliflower - JDOEVDKM_CDS_0020,coliflower - JDOEVDKM_CDS_0020 - tail completion or Neck1 protein
ewik,Ewik_contig_1,10938,9717,coliflower,Coliflower_contig_1,9587,11996,89.5,1.78E-164,tail completion or Neck1 protein,AXUUMYTS_CDS_0009,tail length tape measure protein,JDOEVDKM_CDS_0021,ewik - AXUUMYTS_CDS_0009,ewik - AXUUMYTS_CDS_0009 - tail completion or Neck1 protein,coliflower - JDOEVDKM_CDS_0021,coliflower - JDOEVDKM_CDS_0021 - tail length tape measure protein
ewik,Ewik_contig_1,12391,13618,coliflower,Coliflower_contig_1,12004,13072,96.6,2.13E-199,virion structural protein,AXUUMYTS_CDS_0014,virion structural protein,JDOEVDKM_CDS_0022,ewik - AXUUMYTS_CDS_0014,ewik - AXUUMYTS_CDS_0014 - virion structural protein,coliflower - JDOEVDKM_CDS_0022,coliflower - JDOEVDKM_CDS_0022 - virion structural protein
ewik,Ewik_contig_1,13627,14200,coliflower,Coliflower_contig_1,13082,13535,89.8,3.64E-60,hypothetical protein,AXUUMYTS_CDS_0015,HNH endonuclease,JDOEVDKM_CDS_0023,ewik - AXUUMYTS_CDS_0015,ewik - AXUUMYTS_CDS_0015 - hypothetical protein,coliflower - JDOEVDKM_CDS_0023,coliflower - JDOEVDKM_CDS_0023 - HNH endonuclease
ewik,Ewik_contig_1,14782,14248,coliflower,Coliflower_contig_1,15835,16351,98.8,6.70E-115,minor tail protein,AXUUMYTS_CDS_0016,minor tail protein,JDOEVDKM_CDS_0026,ewik - AXUUMYTS_CDS_0016,ewik - AXUUMYTS_CDS_0016 - minor tail protein,coliflower - JDOEVDKM_CDS_0026,coliflower - JDOEVDKM_CDS_0026 - minor tail protein
ewik,Ewik_contig_1,17358,15213,coliflower,Coliflower_contig_1,13545,15513,74,1.78E-242,tail fiber protein,AXUUMYTS_CDS_0018,virion structural protein,JDOEVDKM_CDS_0024,ewik - AXUUMYTS_CDS_0018,ewik - AXUUMYTS_CDS_0018 - tail fiber protein,coliflower - JDOEVDKM_CDS_0024,coliflower - JDOEVDKM_CDS_0024 - virion structural protein
ewik,Ewik_contig_1,18337,17905,coliflower,Coliflower_contig_1,16347,16779,99.3,2.06E-102,central tail fiber J,AXUUMYTS_CDS_0019,minor tail protein,JDOEVDKM_CDS_0027,ewik - AXUUMYTS_CDS_0019,ewik - AXUUMYTS_CDS_0019 - central tail fiber J,coliflower - JDOEVDKM_CDS_0027,coliflower - JDOEVDKM_CDS_0027 - minor tail protein
ewik,Ewik_contig_1,18329,21614,coliflower,Coliflower_contig_1,16756,19069,95.3,7.311e-316,central tail fiber J,AXUUMYTS_CDS_0021,central tail fiber J,JDOEVDKM_CDS_0028,ewik - AXUUMYTS_CDS_0021,ewik - AXUUMYTS_CDS_0021 - central tail fiber J,coliflower - JDOEVDKM_CDS_0028,coliflower - JDOEVDKM_CDS_0028 - central tail fiber J
ewik,Ewik_contig_1,21613,21910,coliflower,Coliflower_contig_1,20394,20577,42.5,2.68E-06,outer membrane protein,AXUUMYTS_CDS_0022,hypothetical protein,JDOEVDKM_CDS_0031,ewik - AXUUMYTS_CDS_0022,ewik - AXUUMYTS_CDS_0022 - outer membrane protein,coliflower - JDOEVDKM_CDS_0031,coliflower - JDOEVDKM_CDS_0031 - hypothetical protein
ewik,Ewik_contig_1,23492,23141,coliflower,Coliflower_contig_1,21714,21267,92.4,3.83E-66,hypothetical protein,AXUUMYTS_CDS_0026,hypothetical protein,JDOEVDKM_CDS_0033,ewik - AXUUMYTS_CDS_0026,ewik - AXUUMYTS_CDS_0026 - hypothetical protein,coliflower - JDOEVDKM_CDS_0033,coliflower - JDOEVDKM_CDS_0033 - hypothetical protein
ewik,Ewik_contig_1,23671,23488,coliflower,Coliflower_contig_1,21893,21710,98.3,9.40E-38,hypothetical protein,AXUUMYTS_CDS_0026,hypothetical protein,JDOEVDKM_CDS_0033,ewik - AXUUMYTS_CDS_0026,ewik - AXUUMYTS_CDS_0026 - hypothetical protein,coliflower - JDOEVDKM_CDS_0033,coliflower - JDOEVDKM_CDS_0033 - hypothetical protein
ewik,Ewik_contig_1,24101,23720,coliflower,Coliflower_contig_1,22050,22368,98.6,4.90E-44,hypothetical protein,AXUUMYTS_CDS_0028,hypothetical protein,JDOEVDKM_CDS_0036,ewik - AXUUMYTS_CDS_0028,ewik - AXUUMYTS_CDS_0028 - hypothetical protein,coliflower - JDOEVDKM_CDS_0036,coliflower - JDOEVDKM_CDS_0036 - hypothetical protein
ewik,Ewik_contig_1,24607,24286,coliflower,Coliflower_contig_1,22324,22645,96.2,2.36E-66,hypothetical protein,AXUUMYTS_CDS_0030,hypothetical protein,JDOEVDKM_CDS_0037,ewik - AXUUMYTS_CDS_0030,ewik - AXUUMYTS_CDS_0030 - hypothetical protein,coliflower - JDOEVDKM_CDS_0037,coliflower - JDOEVDKM_CDS_0037 - hypothetical protein
ewik,Ewik_contig_1,25086,25398,coliflower,Coliflower_contig_1,22628,23111,100,2.04E-66,Rz-like spanin,AXUUMYTS_CDS_0034,Rz-like spanin,JDOEVDKM_CDS_0038,ewik - AXUUMYTS_CDS_0034,ewik - AXUUMYTS_CDS_0034 - Rz-like spanin,coliflower - JDOEVDKM_CDS_0038,coliflower - JDOEVDKM_CDS_0038 - Rz-like spanin
ewik,Ewik_contig_1,25783,26506,coliflower,Coliflower_contig_1,29645,28097,100,7.64E-162,DNA helicase,AXUUMYTS_CDS_0036,DNA helicase,JDOEVDKM_CDS_0050,ewik - AXUUMYTS_CDS_0036,ewik - AXUUMYTS_CDS_0036 - DNA helicase,coliflower - JDOEVDKM_CDS_0050,coliflower - JDOEVDKM_CDS_0050 - DNA helicase
ewik,Ewik_contig_1,26568,26913,coliflower,Coliflower_contig_1,28029,27900,90,1.55E-18,hypothetical protein,AXUUMYTS_CDS_0037,hypothetical protein,JDOEVDKM_CDS_0048,ewik - AXUUMYTS_CDS_0037,ewik - AXUUMYTS_CDS_0037 - hypothetical protein,coliflower - JDOEVDKM_CDS_0048,coliflower - JDOEVDKM_CDS_0048 - hypothetical protein
ewik,Ewik_contig_1,27072,27315,coliflower,Coliflower_contig_1,27528,27285,100,1.79E-56,hypothetical protein,AXUUMYTS_CDS_0038,hypothetical protein,JDOEVDKM_CDS_0046,ewik - AXUUMYTS_CDS_0038,ewik - AXUUMYTS_CDS_0038 - hypothetical protein,coliflower - JDOEVDKM_CDS_0046,coliflower - JDOEVDKM_CDS_0046 - hypothetical protein
ewik,Ewik_contig_1,27311,28028,coliflower,Coliflower_contig_1,27289,26572,100,5.76E-164,hypothetical protein,AXUUMYTS_CDS_0039,nucleotide pyrophosphohydrolase,JDOEVDKM_CDS_0045,ewik - AXUUMYTS_CDS_0039,ewik - AXUUMYTS_CDS_0039 - hypothetical protein,coliflower - JDOEVDKM_CDS_0045,coliflower - JDOEVDKM_CDS_0045 - nucleotide pyrophosphohydrolase
ewik,Ewik_contig_1,28024,28486,coliflower,Coliflower_contig_1,26576,26111,99.3,6.73E-103,nucleotide pyrophosphohydrolase,AXUUMYTS_CDS_0040,phosphofructokinase,JDOEVDKM_CDS_0044,ewik - AXUUMYTS_CDS_0040,ewik - AXUUMYTS_CDS_0040 - nucleotide pyrophosphohydrolase,coliflower - JDOEVDKM_CDS_0044,coliflower - JDOEVDKM_CDS_0044 - phosphofructokinase
ewik,Ewik_contig_1,28421,28838,coliflower,Coliflower_contig_1,26179,25528,64.8,6.05E-72,phosphofructokinase,AXUUMYTS_CDS_0041,phosphofructokinase,JDOEVDKM_CDS_0044,ewik - AXUUMYTS_CDS_0041,ewik - AXUUMYTS_CDS_0041 - phosphofructokinase,coliflower - JDOEVDKM_CDS_0044,coliflower - JDOEVDKM_CDS_0044 - phosphofructokinase
ewik,Ewik_contig_1,28834,29701,coliflower,Coliflower_contig_1,25474,24751,99.5,9.14E-167,thymidylate synthase,AXUUMYTS_CDS_0042,dCMP deaminase,JDOEVDKM_CDS_0042,ewik - AXUUMYTS_CDS_0042,ewik - AXUUMYTS_CDS_0042 - thymidylate synthase,coliflower - JDOEVDKM_CDS_0042,coliflower - JDOEVDKM_CDS_0042 - dCMP deaminase
ewik,Ewik_contig_1,29697,30189,coliflower,Coliflower_contig_1,24519,24243,94.7,4.16E-46,dCMP deaminase,AXUUMYTS_CDS_0043,deoxycytidinylate deaminase,JDOEVDKM_CDS_0041,ewik - AXUUMYTS_CDS_0043,ewik - AXUUMYTS_CDS_0043 - dCMP deaminase,coliflower - JDOEVDKM_CDS_0041,coliflower - JDOEVDKM_CDS_0041 - deoxycytidinylate deaminase
